massimale_apertura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.0985	11.07788	4.93469	-0.70496	-14.09912	17.32178
0.099	0.20142	0.90637	-3.92761	-0.50354	14.19983
0.0995	-1.51062	-4.43115	-4.12903	-1.10779	15.81116
0.1	-5.84106	-4.83398	-4.12903	-4.73328	16.81824
0.1005	-15.20691	-0.10071	-1.61133	-5.13611	13.19275
0.101	-18.63098	-6.14319	-3.22266	0.50354	16.61682
0.1015	-17.6239	-8.96301	-6.74744	-4.53186	18.02673
0.102	-24.47205	-11.17859	-3.8269	-4.83398	21.04797
0.1025	-35.34851	-12.68921	-10.27222	-3.02124	19.53735
0.103	-32.83081	-24.16992	-7.15027	0	16.51611
0.1035	-40.1825	-16.3147	-3.02124	2.11487	10.77576
0.104	-39.47754	-18.02673	-0.30212	3.92761	7.04956
0.1045	-38.77258	-13.49487	-4.83398	-0.30212	5.53894
0.105	-36.35559	-18.42957	-5.74036	-2.01416	-0.10071
0.1055	-33.33435	-14.40125	-3.8269	-0.50354	-1.40991
0.106	-33.03223	-12.48779	-0.10071	-4.83398	-4.53186
0.1065	-33.83789	-15.40833	-4.73328	-4.12903	-5.53894
0.107	-29.30603	-12.68921	-2.92053	0.90637	-5.74036
0.1075	-23.16284	-16.61682	-9.66797	-4.43115	-8.35876
0.108	-25.88196	-5.33752	1.00708	-6.64673	-15.40833
0.1085	-12.89062	-0.50354	-4.43115	1.40991	-16.71753
0.109	-11.68213	1.3092	-1.91345	-1.10779	-23.36426
0.1095	-2.31628	3.52478	-0.70496	-5.84106	-21.95435
0.11	2.61841	-1.00708	-2.41699	-0.10071	-28.09753
0.1105	7.95593	4.63257	2.71912	-4.53186	-26.78833
0.111	2.92053	5.53894	-0.10071	-4.12903	-25.07629
0.1115	14.30054	9.66797	-3.52478	-1.91345	-21.24939
0.112	23.56567	10.97717	-9.66797	1.40991	-22.76001
0.1125	24.37134	13.59558	-0.40283	-1.10779	-18.8324
0.113	26.18408	15.60974	0.60425	-7.15027	-17.22107
0.1135	35.54993	12.28638	5.53894	-7.45239	-20.24231
0.114	24.06921	14.19983	1.91345	-3.52478	-14.90479
0.1145	34.03931	12.5885	-1.40991	-5.63965	-10.97717
0.115	26.68762	13.797	0.80566	-1.3092	-7.45239
0.1155	29.00391	10.57434	3.62549	-1.71204	-4.33044
0.116	26.58691	7.75452	-1.91345	-7.15027	-1.91345
0.1165	24.27063	12.99133	-1.40991	-1.3092	0.70496
0.117	22.76001	5.23682	-4.12903	-0.70496	3.7262
0.1175	18.63098	1.2085	-2.11487	2.21558	9.76868
0.118	16.61682	3.92761	-3.02124	-5.74036	17.42249
0.1185	9.66797	1.71204	-3.32336	-7.25098	16.11328
0.119	4.22974	-4.22974	-6.14319	-1.51062	18.22815
0.1195	1.10779	-6.3446	-1.00708	-0.10071	21.04797
0.12	-0.80566	-10.87646	-5.33752	-0.70496	15.30762
0.1205	-10.0708	-18.12744	-6.94885	-0.10071	23.76709
0.121	-9.97009	-14.70337	-3.12195	3.32336	19.33594
0.1215	-9.36584	-19.63806	-3.32336	6.04248	18.53027
0.122	-22.05505	-18.73169	-5.84106	2.11487	17.82532
0.1225	-28.80249	-21.24939	-8.05664	2.41699	17.42249
0.123	-28.09753	-22.35718	-7.5531	7.25098	18.12744
0.1235	-34.54285	-19.33594	-7.45239	7.15027	17.22107
0.124	-36.35559	-19.03381	-5.84106	5.74036	11.58142
0.1245	-32.22656	-20.74585	-6.54602	1.71204	6.84814
0.125	-31.32019	-14.40125	-9.56726	-0.80566	0.60425
0.1255	-34.74426	-18.42957	-3.7262	0.20142	0.50354
0.126	-35.65063	-19.23523	-11.78284	4.53186	0.40283
0.1265	-36.55701	-9.97009	-9.97009	11.07788	-2.81982
0.127	-31.72302	-15.00549	-7.5531	2.81982	-4.33044
0.1275	-25.68054	-10.17151	-2.21558	-0.50354	-8.25806
0.128	-16.81824	-5.43823	0.20142	-1.51062	-20.64514
0.1285	-16.01257	-2.61841	1.40991	-5.63965	-19.33594
0.129	-12.48779	9.76868	4.53186	-4.53186	-26.08337
0.1295	-10.57434	7.45239	1.61133	-6.54602	-28.29895
0.13	-1.2085	9.16443	4.33044	-5.94177	-22.25647
0.1305	3.8269	5.84106	1.51062	-4.53186	-25.07629
0.131	6.14319	4.53186	2.92053	-3.02124	-24.57275
0.1315	9.66797	5.74036	4.12903	-2.21558	-26.48621
0.132	15.30762	17.42249	4.93469	-1.51062	-21.85364
0.1325	19.53735	23.06213	4.33044	-1.2085	-25.57983
0.133	25.177	17.42249	4.02832	-2.92053	-24.77417
0.1335	29.91028	21.3501	2.5177	-6.74744	-18.63098
0.134	29.10461	13.39417	6.14319	1.3092	-19.63806
0.1345	24.87488	14.80408	7.15027	-1.3092	-9.06372
0.135	25.27771	10.77576	8.05664	2.31628	-7.35168
0.1355	25.27771	12.48779	5.0354	0	-1.91345
0.136	23.56567	7.15027	-4.83398	-1.61133	0.30212
