massimale_chiusura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.099	-46.22498	-19.43665	-7.25098	29.91028	-38.57117
0.0995	-41.08887	-12.38708	-6.2439	25.47913	-48.03772
0.1	-35.65063	-14.09912	-6.64673	22.25647	-44.71436
0.1005	-36.55701	-11.48071	-3.92761	30.2124	-51.26038
0.101	-25.68054	-12.18567	-3.22266	22.35718	-48.23914
0.1015	-18.02673	-12.38708	-3.8269	23.26355	-49.44763
0.102	-10.87646	-3.52478	-0.90637	17.72461	-49.14551
0.1025	-1.91345	-4.12903	2.61841	16.01257	-46.92993
0.103	0	0.50354	-2.11487	8.35876	-43.30444
0.1035	8.15735	1.40991	-0.10071	3.8269	-38.47046
0.104	13.99841	-1.81274	-0.30212	4.73328	-34.34143
0.1045	28.39966	6.44531	-2.71912	-4.22974	-30.31311
0.105	27.09045	7.25098	1.61133	-3.92761	-29.80957
0.1055	35.95276	9.26514	0	-10.97717	-29.80957
0.106	47.23206	8.7616	0.90637	-14.30054	-29.80957
0.1065	44.61365	15.20691	4.12903	-18.02673	-29.80957
0.107	47.43347	11.68213	5.33752	-18.02673	-29.80957
0.1075	44.0094	17.22107	6.14319	-19.23523	-29.80957
0.108	44.0094	11.88354	5.74036	-27.89612	-29.80957
0.1085	41.99524	10.37292	2.01416	-23.8678	-29.80957
0.109	38.974	11.88354	1.3092	-30.11169	-29.80957
0.1095	33.33435	10.57434	-3.12195	-25.68054	-29.80957
0.11	32.32727	10.77576	-3.8269	-23.06213	-29.80957
0.1105	27.09045	5.94177	-4.83398	-28.39966	-29.80957
0.111	20.94727	2.92053	-0.30212	-23.56567	-29.80957
0.1115	11.38	-0.90637	1.61133	-21.85364	-29.80957
0.112	2.11487	-0.70496	-4.12903	-19.03381	-29.80957
0.1125	-8.15735	-0.10071	-4.83398	-11.68213	46.5271
0.113	-14.40125	-3.92761	-0.50354	-15.00549	51.15967
0.1135	-25.47913	-10.0708	1.2085	-5.13611	46.12427
0.114	-29.91028	-7.35168	-1.40991	1.71204	29.50745
0.1145	-30.61523	-12.78992	-6.54602	5.0354	30.81665
0.115	-36.75842	-12.78992	-7.95593	3.7262	23.8678
0.1155	-51.15967	-10.0708	-1.3092	6.14319	15.81116
0.116	-56.90002	-17.22107	-2.92053	14.70337	7.75452
0.1165	-60.52551	-19.13452	-7.35168	18.12744	2.41699
0.117	-64.55383	-15.40833	-3.8269	21.95435	-11.38
0.1175	-57.70569	-15.1062	-2.5177	18.73169	-17.6239
0.118	-51.76392	-12.38708	0.10071	18.63098	-26.78833
0.1185	-53.07312	-11.98425	-0.90637	26.18408	-30.61523
0.119	-48.84338	-13.39417	-2.31628	29.30603	-32.52869
0.1195	-42.8009	-7.95593	-2.92053	29.00391	-38.36975
0.12	-41.39099	-10.77576	0.40283	27.19116	-46.42639
0.1205	-43.00232	-5.53894	-0.40283	25.98267	-49.54834
0.121	-29.70886	-9.06372	-2.81982	25.68054	-53.27454
0.1215	-20.1416	-4.43115	1.40991	27.49329	-54.38232
0.122	-10.17151	-5.63965	-0.20142	16.11328	-51.66321
0.1225	-2.71912	-2.92053	-1.10779	15.60974	-51.66321
0.123	2.41699	-3.92761	-2.92053	11.48071	-39.67896
0.1235	8.05664	6.14319	2.31628	9.36584	-39.27612
0.124	18.42957	0.90637	1.10779	1.40991	-33.13293
0.1245	25.37842	10.0708	-5.63965	2.61841	-30.51453
0.125	29.70886	14.70337	0.40283	-7.35168	-28.29895
0.1255	44.21082	12.5885	0.10071	-11.17859	-17.6239
0.126	44.81506	5.53894	-3.52478	-16.81824	-6.3446
0.1265	44.61365	8.66089	0.10071	-18.32886	-3.52478
0.127	51.26038	9.36584	-2.92053	-18.73169	7.5531
0.1275	43.40515	13.797	-4.12903	-24.47205	12.08496
0.128	46.42639	8.96301	5.63965	-25.177	26.68762
0.1285	47.23206	14.19983	0.50354	-27.6947	27.99683
0.129	42.49878	12.18567	-1.10779	-25.98267	34.34143
0.1295	45.2179	11.68213	-1.51062	-30.91736	37.06055
0.13	34.34143	10.17151	-2.71912	-25.57983	35.95276
0.1305	31.11877	11.07788	-7.5531	-31.01807	41.99524
0.131	26.58691	-1.71204	-5.74036	-27.89612	44.81506
0.1315	12.5885	-1.61133	3.42407	-17.32178	46.32568
0.132	3.92761	-8.96301	-0.90637	-18.42957	47.43347
